,cum_err,gender
379,4999.287481524837,male
380,5013.7733985519335,male
381,5028.169315579028,male
382,5042.545232606124,male
383,5057.081149633221,male
384,5071.647066660315,male
385,5086.262983687412,male
386,5100.9089007145085,male
387,5115.554817741605,male
388,5129.9507347686995,male
389,5143.966651795797,male
390,5157.732568822893,male
391,5171.168485849989,male
392,5184.214402877085,male
393,5196.770319904181,male
394,5209.256236931276,male
395,5222.092153958373,male
396,5235.52807098547,male
397,5249.2739880125655,male
398,5262.639905039661,male
399,5274.874537840149,male
400,5286.0891706406355,male
401,5296.843803441124,male
402,5307.378436241611,male
403,5318.133069042098,male
404,5329.347701842586,male
405,5340.362334643073,male
406,5351.226967443558,male
407,5362.531600244046,male
408,5373.816233044535,male
409,5386.690111189751,male
410,5399.911003144967,male
411,5412.451895100183,male
412,5425.622787055399,male
413,5439.123679010616,male
414,5452.644570965833,male
415,5465.845462921049,male
416,5478.086354876265,male
417,5489.967246831483,male
418,5501.558138786699,male
419,5512.649030741915,male
420,5523.929922697132,male
421,5535.7808146523475,male
422,5547.831706607564,male
423,5559.462598562781,male
424,5570.973490517997,male
425,5582.564382473214,male
426,5594.0952744284305,male
427,5605.816166383646,male
428,5617.937058338864,male
429,5630.007950294081,male
430,5641.848842249296,male
431,5653.519734204512,male
432,5664.9306261597285,male
433,5675.9553190408715,male
434,5686.993752767285,male
435,5697.802186493698,male
436,5708.74062022011,male
437,5719.57694862245,male
438,5730.44327702479,male
439,5741.519605427128,male
440,5753.139734755393,male
441,5764.979864083658,male
442,5777.3399934119225,male
443,5790.080122740188,male
444,5802.570252068453,male
445,5814.940381396718,male
446,5827.280510724984,male
447,5839.570640053249,male
448,5851.620769381514,male
449,5863.4408987097795,male
450,5875.221028038044,male
451,5887.101157366309,male
452,5899.261286694573,male
453,5911.121416022839,male
454,5922.472829577712,male
455,5933.834243132586,male
456,5945.20565668746,male
457,5956.377070242334,male
458,5967.398483797209,male
459,5978.4998973520815,male
460,5990.221310906956,male
461,6001.82272446183,male
462,6013.564138016703,male
463,6025.635551571578,male
