index,temp,mouse
145,38.15153846153846,avg
146,38.14917582417582,avg
147,38.14917582417583,avg
148,38.15560439560439,avg
149,38.16208791208792,avg
150,38.16571428571429,avg
151,38.166428571428575,avg
152,38.16571428571428,avg
153,38.16543956043956,avg
154,38.16197802197802,avg
155,38.1573076923077,avg
156,38.161373626373624,avg
157,38.1617032967033,avg
158,38.158186813186816,avg
159,38.15807692307692,avg
160,38.15862637362637,avg
161,38.15653846153846,avg
162,38.16472527472528,avg
163,38.17324175824176,avg
164,38.176703296703295,avg
165,38.17807692307692,avg
166,38.18269230769231,avg
167,38.17824175824176,avg
168,38.17456043956044,avg
169,38.1706043956044,avg
170,38.16983516483516,avg
171,38.17538461538462,avg
172,38.17357142857143,avg
173,38.170659340659334,avg
174,38.15609890109891,avg
175,38.15785714285715,avg
176,38.16565934065934,avg
177,38.16302197802197,avg
178,38.15956043956044,avg
179,38.15379120879121,avg
180,38.145274725274724,avg
181,38.14637362637363,avg
182,38.143131868131874,avg
183,38.14192307692308,avg
184,38.13901098901099,avg
185,38.13478021978022,avg
186,38.13027010027473,avg
187,38.1305997706044,avg
188,38.132193177197806,avg
189,38.13076460576923,avg
190,38.133456913461536,avg
191,38.13587449587912,avg
192,38.13747252747253,avg
193,38.129450549450546,avg
194,38.12,avg
195,38.11159340659341,avg
196,38.11049450549451,avg
197,38.11137362637363,avg
198,38.11175824175824,avg
199,38.11554945054945,avg
200,38.120659340659344,avg
201,38.12384615384615,avg
202,38.12076923076923,avg
203,38.121263736263735,avg
204,38.13148351648351,avg
205,38.1389010989011,avg
206,38.143351648351654,avg
207,38.1360989010989,avg
208,38.12703296703297,avg
209,38.11758241758242,avg
210,38.113956043956044,avg
211,38.11115384615385,avg
212,38.10989010989011,avg
213,38.10758241758242,avg
214,38.10681318681319,avg
215,38.1032967032967,avg
216,38.09967032967033,avg
217,38.09983516483516,avg
218,38.09851648351649,avg
219,38.097637362637364,avg
220,38.09505494505494,avg
221,38.090824175824174,avg
222,38.08335164835165,avg
223,38.08142857142857,avg
224,38.08714285714286,avg
225,38.08697802197803,avg
226,38.082032967032966,avg
227,38.080659340659345,avg
228,38.08142857142857,avg
229,38.08087912087912,avg
230,38.07956043956044,avg
231,38.0771978021978,avg
232,38.074175824175825,avg
233,38.07148351648352,avg
234,38.064061309065934,avg
235,38.05851185851649,avg
236,38.06202834203297,avg
237,38.0662041662088,avg
238,38.06906593406593,avg
239,38.065109890109895,avg
240,38.056538461538466,avg
241,38.04615384615385,avg
242,38.0406043956044,avg
243,38.04148351648352,avg
244,38.032912087912095,avg
245,38.02741758241758,avg
246,38.01620879120879,avg
247,38.011868131868134,avg
248,38.00923076923077,avg
249,38.020274725274724,avg
250,38.02010989010989,avg
251,38.01016483516484,avg
252,38.00582417582417,avg
253,38.00142857142857,avg
254,37.99340659340659,avg
255,38.00247252747253,avg
256,38.009560439560445,avg
257,38.00351648351648,avg
258,37.995329670329674,avg
259,37.98615384615385,avg
260,37.98516483516484,avg
261,37.986538461538466,avg
262,37.987912087912086,avg
263,37.98956043956044,avg
264,37.98604395604396,avg
265,37.96972527472527,avg
266,37.96346153846154,avg
267,37.97153846153846,avg
268,37.979450549450554,avg
269,37.985,avg
270,37.9910989010989,avg
271,37.982417582417575,avg
272,37.97587912087912,avg
273,37.96818681318681,avg
274,37.965659340659336,avg
275,37.96802197802198,avg
276,37.965329670329666,avg
277,37.96296703296703,avg
278,37.964999999999996,avg
279,37.965604395604394,avg
280,37.96835164835165,avg
281,37.96813186813187,avg
282,37.96901098901099,avg
283,37.96857142857143,avg
284,37.964285714285715,avg
285,37.96148351648352,avg
286,37.9678021978022,avg
287,37.981373626373625,avg
288,37.98164835164835,avg
289,37.97516483516483,avg
290,37.964670329670334,avg
291,37.9467032967033,avg
292,37.94703296703296,avg
293,37.94412087912088,avg
294,37.930989010989016,avg
295,37.923846153846156,avg
296,37.925824175824175,avg
297,37.93291208791209,avg
298,37.942032967032965,avg
299,37.95137362637363,avg
300,37.95010989010989,avg
301,37.942582417582415,avg
302,37.92989010989011,avg
303,37.925054945054946,avg
304,37.927032967032964,avg
305,37.9228021978022,avg
306,37.923571428571435,avg
307,37.932417582417585,avg
308,37.933736263736265,avg
309,37.93758241758241,avg
310,37.93670329670329,avg
311,37.93780219780219,avg
312,37.93884615384616,avg
313,37.93989010989011,avg
314,37.9393956043956,avg
315,37.9448901098901,avg
