,error,gender,time
187,1.15353207900739,male,187
188,1.1596859251612355,male,188
189,1.1627628482381591,male,189
190,1.1258397713150818,male,190
191,1.1027628482381595,male,191
192,1.1250705405458505,male,192
193,1.1196859251612374,male,193
194,1.1035320790073895,male,194
195,1.1519936174689276,male,195
196,1.1958397713150821,male,196
197,1.1881474636227738,male,197
198,1.1619936174689285,male,198
199,1.1927628482381585,male,199
200,1.240455155930466,male,200
201,1.2396859251612353,male,201
202,1.1735320790073898,male,202
203,1.1658397713150814,male,203
204,1.1319936174689278,male,204
205,1.1381474636227737,male,205
206,1.1804551559304655,male,206
207,1.198916694392005,male,207
208,1.1781474636227747,male,208
209,1.1243013097766195,male,209
210,1.115070540545851,male,210
211,1.0827628482381586,male,211
212,1.0827628482381597,male,212
213,1.1181474636227735,male,213
